"NAME","PHYLUM","CLASS","Sage1_L_100_16","Sage1_L_113_16","Sage1_L_20_16","Sage1_L_40_16","Sage1_L_60_16","Sage1_L_80_16","Sage1_R_100_16","Sage1_R_113_16","Sage1_R_20_16","Sage1_R_40_16","Sage1_R_60_16","Sage1_R_80_16","Sage2_L_100_16","Sage2_L_115_16","Sage2_L_20_16","Sage2_L_40_16","Sage2_L_60_16","Sage2_L_80_16","Sage2_R_100_16","Sage2_R_115_16","Sage2_R_20_16","Sage2_R_40_16","Sage2_R_60_16","Sage2_R_80_16"
"scaffold_5660691","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.89582349,1.026637968,0.719366923,0.793252546,1.092377365,0.873109475,1.440377194,1.612838597,0,1.413529291,1.417598023,1.156003651
"scaffold_5674783","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.694721205,0,0.759134632,0.787028688,1.047570769,0,0,0,0,1.290420243,0,0
"scaffold_5681574","Undefined","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.761663118,0.964800308,0,0.795921667,0.909135296,0.684055126,1.236839114,1.386665864,1.245147648,1.29425315,1.208568774,0.988989814
"scaffold_5733000","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.787186761,0.977696569,0.748349675,0.789687673,0,0.684399323,1.293970641,1.244535807,1.19422624,1.326428594,1.351731898,0.943371935
"scaffold_5734422","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.700154835,0,0,0.795921667,0.925711276,0,0,0,1.040022322,1.369726951,0,0
"scaffold_5772052","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.741675331,0.860360705,0,0.795921667,0,0,0,0,0,0,0,0
"scaffold_5777468","Actinomycetota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.690231651,0,0,0.795921667,0,0,0,0,0,0,0,0
"scaffold_5800855","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.817474632,0.986532552,0,0.785763508,0.847338896,0.79034089,1.147731767,1.336758176,0,1.302079905,1.410862902,1.098795014
"scaffold_5884555","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.750675425,0.86796612,0.718356557,0.789118918,0.917332615,0,0,0,1.180907594,1.13947714,1.155211472,0
"scaffold_6059729","Pseudomonadota","GammaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.798726524,0,0,0.795921667,1.021829375,0,0,0,0,1.366509495,0,0
"scaffold_6215584","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.715984605,0.859731667,0,0.692405581,1.092952301,0.82546639,0,0,0,1.080233436,1.411905369,1.026575238
"scaffold_6216680","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.778474249,0.906385849,0,0.629524391,1.092952301,0.822788277,1.178782314,1.373888387,0,1.156552608,1.327564796,0.930713928
"scaffold_6217374","Pseudomonadota","Undefined",0,0,0,0,0,0,0,0,0,0,0,0,0.892706244,1.026956035,0.807536993,0.795921667,1.092952301,0.873396626,1.354993457,1.415700069,0,1.414206803,1.416943458,1.156677483
"scaffold_6235536","Pseudomonadota","AlphaPseudomonadota",0,0,0,0,0,0,0,0,0,0,0,0,0.694011866,0.870328983,0,0,1.092952301,0.827234013,0,0,0,0,1.374935958,0.989083788
"scaffold_6236694","Actinomycetota","Actinomycetia",0,0,0,0,0,0,0,0,0,0,0,0,0.878105491,0.911167854,0,0,1.092952301,0.856545656,0,0,0,0,1.206352652,1.143012776
